patientIC,patientDoa,analysisType,analysisTimeLog
030904-11-1718,2023-01-15,Blood,2023/03/12 08:37:52
030904-11-1718,2023-01-15,Blood,2023/06/17 15:22:09
010609-22-0304,2023-02-10,Blood,2023/01/29 12:45:14
021011-33-4405,2023-03-22,Blood,2023/09/05 19:18:33
041215-44-7606,2023-04-07,Blood,2023/07/20 10:53:27
051025-55-8807,2023-05-19,Blood,2023/05/01 17:26:51
060401-66-9908,2023-06-02,Blood,2023/11/09 22:11:08
070708-77-1109,2023-07-11,Blood,2023/08/02 13:35:45
080913-88-4410,2023-08-25,Blood,2023/04/06 06:09:57
091122-99-6611,2023-09-13,Blood,2023/10/27 09:42:13
101216-10-8812,2023-10-07,Blood,2023/06/28 22:16:21
020519-10-8789,2023-06-22,Blood,2023/06/27 22:16:21
030904-11-1718,2023-01-15,Saliva,2023/02/18 09:30:00
010609-22-0304,2023-02-10,Saliva,2023/03/25 11:45:00
021011-33-4405,2023-03-22,Saliva,2023/04/14 08:20:00
041215-44-7606,2023-04-07,Saliva,2023/05/06 13:55:00
051025-55-8807,2023-05-19,Saliva,2023/06/10 10:10:00
060401-66-9908,2023-06-02,Saliva,2023/07/19 09:05:00
070708-77-1109,2023-07-11,Saliva,2023/08/07 12:30:00
080913-88-4410,2023-08-25,Saliva,2023/09/22 15:20:00
091122-99-6611,2023-09-13,Saliva,2023/10/05 10:55:00
101216-10-8812,2023-10-07,Saliva,2023/11/28 14:40:00
030904-11-1718,2023-01-15,Urine,2023/02/18 09:30:00
010609-22-0304,2023-02-10,Urine,2023/03/25 11:45:00
021011-33-4405,2023-03-22,Urine,2023/04/14 08:20:00
041215-44-7606,2023-04-07,Urine,2023/05/06 13:55:00
051025-55-8807,2023-05-19,Urine,2023/06/10 10:10:00
060401-66-9908,2023-06-02,Urine,2023/07/19 09:05:00
070708-77-1109,2023-07-11,Urine,2023/08/07 12:30:00
080913-88-4410,2023-08-25,Urine,2023/09/22 15:20:00
091122-99-6611,2023-09-13,Urine,2023/10/05 10:55:00
101216-10-8812,2023-10-07,Urine,2023/11/28 14:40:00
030904-11-1718,2023-01-15,Physical,2023/06/27 23:54:37
010609-22-0304,2023-02-10,Physical,2023/06/28 00:42:42
021011-33-4405,2023-03-22,Physical,2023/02/18 09:30:00
041215-44-7606,2023-04-07,Physical,2023/03/25 11:45:00
051025-55-8807,2023-05-19,Physical,2023/04/14 08:20:00
060401-66-9908,2023-06-02,Physical,2023/05/06 13:55:00
070708-77-1109,2023-07-11,Physical,2023/06/10 10:10:00
080913-88-4410,2023-08-25,Physical,2023/07/19 09:05:00
091122-99-6611,2023-09-13,Physical,2023/08/07 12:30:00
101216-10-8812,2023-10-07,Physical,2023/09/22 15:20:00
020519-10-8789,2023-06-13,Saliva,2023/06/27 22:30:25
030904-11-1718,2023-06-13,Saliva,2023/06/27 22:55:11
030904-11-1718,2023-06-13,Physical,2023/06/27 23:54:37
030904-11-1718,2023-06-13,Urine,2023/06/28 00:09:27
030904-11-1718,2023-06-22,X-Ray,2023/06/28 00:11:32
041117-11-1718,2023-05-31,Physical,2023/06/28 00:42:42
041117-11-1718,2023-05-31,X-Ray,2023/06/28 15:30:40
