Username,Ic,Password
patient_Giselle,030904-11-1718,1234567890
staff_crystal,098765432112,1234567890
patient_john,030904-11-1718,1234567890
patient_emma,010609-22-0304,1234567890
patient_liam,021011-33-4405,1234567890
patient_olivia,041215-44-7606,1234567890
patient_noah,051025-55-8807,1234567890
patient_ava,060401-66-9908,1234567890
patient_william,070708-77-1109,1234567890
patient_sophia,080913-88-4410,1234567890
patient_james,091122-99-6611,1234567890
patient_isabella,101216-10-8812,1234567890
